"NF5468M6 (8x A40, TensorRT)"	A40x8_TRT	Inspur	closed	datacenter	available	1	Intel(R) Xeon(R) Platinum 8380	2	40					2 TB	2.9TB*4 + 893.3GB	NVMe SSD + M.2			8	NVIDIA A40					48 GB					"TensorRT 8.6.0, CUDA 12.0"	Ubuntu 20.04.5	"TensorRT 8.6.0, CUDA 12.0, cuDNN 8.8.0, Driver 525.85.12, DALI 1.17.0"
"NF5468M6 (8x A40, TensorRT, Triton)"	A40x8_TRT	Inspur	closed	datacenter	available	1	Intel(R) Xeon(R) Platinum 8380	2	40					2 TB	2.9TB*4 + 893.3GB	NVMe SSD + M.2			8	NVIDIA A40					48 GB					"TensorRT 8.6.0, CUDA 12.0"	Ubuntu 20.04.5	"TensorRT 8.6.0, CUDA 12.0, cuDNN 8.8.0, Driver 525.85.12, DALI 1.17.0, Triton 23.01"
"NE5260M5 (2x A40, TensorRT)"	A40x2_TRT	Inspur	closed	edge	available	1	Intel(R) Xeon(R) Gold 6258R	2	28					1 TB	2.9 TB + 894.3GB	NVMe SSD + M.2			2	NVIDIA A40					48 GB					"TensorRT 8.6.0, CUDA 12.0"	Ubuntu 22.04.1	"TensorRT 8.6.0, CUDA 12.0, cuDNN 8.8.0, Driver 525.85.12, DALI 1.17.0"
"NE5260M5 (2x A40, TensorRT, Triton)"	A40x2_TRT	Inspur	closed	edge	available	1	Intel(R) Xeon(R) Gold 6258R	2	28					1 TB	2.9 TB + 894.3GB	NVMe SSD + M.2			2	NVIDIA A40					48 GB					"TensorRT 8.6.0, CUDA 12.0"	Ubuntu 22.04.1	"TensorRT 8.6.0, CUDA 12.0, cuDNN 8.8.0, Driver 525.85.12, DALI 1.17.0, Triton 23.01"
